coin_name,coin_diff,coin_diff_pct
1INCH,-0.02,-0.01
AAVE,-0.34,-0.0
ACH,0.0,0.02
ADA,0.0,0.0
AGLD,0.0,0.0
ALCX,-4.16,-0.02
ALGO,0.02,0.01
AMP,0.0,0.0
ANKR,0.0,0.0
API3,0.0,0.0
ARPA,0.0,0.0
ASM,-0.0,-0.0
ATOM,0.04,0.0
AUCTION,0.22,0.01
AVAX,0.43,0.0
AXS,-0.11,-0.0
BADGER,0.03,0.0
BAL,-0.01,-0.0
BAND,-0.01,-0.0
BAT,0.0,0.0
BCH,1.49,0.0
BICO,-0.01,-0.0
BLZ,0.0,0.0
BNT,-0.01,-0.0
BOND,-0.14,-0.01
BTC,-161.07,-0.0
BTRST,0.0,0.0
CGLD,-0.02,-0.0
CHZ,0.0,0.0
CLV,0.0,0.0
COMP,0.38,0.0
COTI,0.0,0.0
COVAL,-0.0,-0.0
CRO,-0.0,-0.0
CRV,-0.04,-0.01
CTSI,0.0,0.01
CVC,-0.0,-0.0
DAI,0.0,0.0
DASH,0.29,0.0
DDX,-0.04,-0.01
DESO,-2.56,-0.02
DNT,-0.0,-0.0
DOGE,0.0,0.01
DOT,0.08,0.0
ENJ,0.0,0.0
ENS,-0.03,-0.0
EOS,-0.0,-0.0
ETC,-0.02,-0.0
ETH,-4.92,-0.0
FARM,-2.36,-0.02
FET,-0.0,-0.01
FIL,0.16,0.0
FORTH,0.01,0.0
FOX,0.0,0.01
FX,-0.01,-0.01
GALA,0.01,0.01
GNT,-0.0,-0.01
GODS,0.0,0.0
GRT,0.0,0.0
GTC,0.02,0.0
GYEN,-0.0,-0.0
ICP,0.05,0.0
IDEX,-0.0,-0.0
IMX,-0.02,-0.01
IOTX,0.0,0.0
JASMY,-0.0,-0.0
KEEP,0.01,0.01
KNC,-0.01,-0.01
KRL,-0.01,-0.01
LCX,0.0,0.01
LINK,-0.14,-0.01
LOOM,-0.0,-0.01
LPT,-0.54,-0.01
LRC,-0.0,-0.0
LTC,0.23,0.0
MANA,-0.0,-0.0
MASK,0.19,0.02
MATIC,0.01,0.0
MCO2,0.0,0.0
MDT,-0.0,-0.01
MIR,0.01,0.0
MKR,0.1,0.0
MLN,2.29,0.03
MUSD,0.0,0.0
NKN,0.0,0.0
NMR,-0.04,-0.0
NU,-0.0,-0.0
OGN,0.01,0.01
OMG,0.04,0.01
ORN,-0.15,-0.03
OXT,0.0,0.01
PAX,0.0,0.0
PERP,0.1,0.01
PLA,0.0,0.0
POLS,0.0,0.0
POLY,-0.01,-0.01
POWR,-0.0,-0.01
QNT,-1.2,-0.01
QUICK,13.11,0.04
RAD,0.06,0.01
RAI,0.0,0.0
RARI,-0.09,-0.01
RBN,0.0,0.0
REN,-0.0,-0.0
REP,-0.03,-0.0
REQ,0.0,0.01
RGT,0.0,0.0
RLC,0.01,0.0
RLY,0.0,0.0
SHIB,-0.0,-0.0
SKL,0.0,0.0
SNX,0.0,0.0
SOL,0.29,0.0
SPELL,-0.0,-0.01
STORJ,0.0,0.0
SUKU,0.0,0.0
SUPER,-0.01,-0.01
SUSHI,-0.15,-0.02
TBTC,0.0,0.0
TRAC,-0.02,-0.02
TRB,0.13,0.0
TRIBE,-0.01,-0.01
TRU,0.0,0.0
UMA,0.03,0.0
UNI,-0.01,-0.0
USDC,-0.0,-0.0
USDT,0.0,0.0
UST,0.0,0.0
VGX,-0.02,-0.01
WBTC,-15.02,-0.0
WCFG,0.0,0.0
WLUNA,0.01,0.0
XLM,0.0,0.01
XRP,0.0,0.0
XTZ,0.0,0.0
XYO,-0.0,-0.0
YFI,-144.84,-0.01
YFII,-5.0,-0.0
ZEC,0.31,0.0
ZEN,0.15,0.0
ZRX,0.0,0.0
